date,Blockchain,isPartial
2018-01-07,100,False
2018-01-14,88,False
2018-01-21,79,False
2018-01-28,72,False
2018-02-04,61,False
2018-02-11,62,False
2018-02-18,65,False
2018-02-25,57,False
2018-03-04,54,False
2018-03-11,59,False
2018-03-18,55,False
2018-03-25,50,False
2018-04-01,48,False
2018-04-08,48,False
2018-04-15,49,False
2018-04-22,51,False
2018-04-29,50,False
2018-05-06,48,False
2018-05-13,55,False
2018-05-20,47,False
2018-05-27,47,False
2018-06-03,49,False
2018-06-10,44,False
2018-06-17,45,False
2018-06-24,43,False
2018-07-01,40,False
2018-07-08,41,False
2018-07-15,41,False
2018-07-22,42,False
2018-07-29,41,False
2018-08-05,39,False
2018-08-12,38,False
2018-08-19,37,False
2018-08-26,42,False
2018-09-02,40,False
2018-09-09,41,False
2018-09-16,41,False
2018-09-23,44,False
2018-09-30,42,False
2018-10-07,42,False
2018-10-14,42,False
2018-10-21,43,False
2018-10-28,40,False
2018-11-04,39,False
2018-11-11,41,False
2018-11-18,34,False
2018-11-25,41,False
2018-12-02,36,False
2018-12-09,32,False
2018-12-16,31,False
2018-12-23,24,False
2018-12-30,26,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,30,False
2019-01-27,29,False
2019-02-03,29,False
2019-02-10,31,False
2019-02-17,30,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,30,False
2019-03-31,33,False
2019-04-07,32,False
2019-04-14,32,False
2019-04-21,36,False
2019-04-28,37,False
2019-05-05,38,False
2019-05-12,38,False
2019-05-19,36,False
2019-05-26,35,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,35,False
2019-06-23,35,False
2019-06-30,29,False
2019-07-07,29,False
2019-07-14,31,False
2019-07-21,31,False
2019-07-28,27,False
2019-08-04,26,False
2019-08-11,27,False
2019-08-18,27,False
2019-08-25,26,False
2019-09-01,25,False
2019-09-08,29,False
2019-09-15,28,False
2019-09-22,27,False
2019-09-29,28,False
2019-10-06,26,False
2019-10-13,27,False
2019-10-20,24,False
2019-10-27,28,False
2019-11-03,26,False
2019-11-10,27,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,25,False
2019-12-15,23,False
2019-12-22,20,False
2019-12-29,20,False
2020-01-05,26,False
2020-01-12,27,False
2020-01-19,25,False
2020-01-26,25,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,24,False
2020-03-01,25,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,20,False
2020-03-29,22,False
2020-04-05,23,False
2020-04-12,23,False
2020-04-19,23,False
2020-04-26,26,False
2020-05-03,26,False
2020-05-10,26,False
2020-05-17,24,False
2020-05-24,24,False
2020-05-31,25,False
2020-06-07,22,False
2020-06-14,22,False
2020-06-21,23,False
2020-06-28,20,False
2020-07-05,22,False
2020-07-12,25,False
2020-07-19,25,False
2020-07-26,28,False
2020-08-02,24,False
2020-08-09,24,False
2020-08-16,25,False
2020-08-23,25,False
2020-08-30,24,False
2020-09-06,21,False
2020-09-13,21,False
2020-09-20,23,False
2020-09-27,21,False
2020-10-04,22,False
2020-10-11,24,False
2020-10-18,20,False
2020-10-25,23,False
2020-11-01,31,False
2020-11-08,27,False
2020-11-15,25,False
2020-11-22,27,False
2020-11-29,24,False
2020-12-06,25,False
2020-12-13,28,False
2020-12-20,26,False
2020-12-27,32,False
2021-01-03,50,False
2021-01-10,45,False
2021-01-17,42,False
2021-01-24,38,False
2021-01-31,43,False
2021-02-07,57,False
2021-02-14,70,False
2021-02-21,59,False
2021-02-28,52,False
2021-03-07,55,False
2021-03-14,48,False
2021-03-21,44,False
2021-03-28,43,False
2021-04-04,46,False
2021-04-11,57,False
2021-04-18,54,False
2021-04-25,48,False
2021-05-02,53,False
2021-05-09,57,False
2021-05-16,52,False
2021-05-23,45,False
2021-05-30,41,False
2021-06-06,40,False
2021-06-13,34,False
2021-06-20,32,False
2021-06-27,32,False
2021-07-04,30,False
2021-07-11,29,False
2021-07-18,29,False
2021-07-25,34,False
2021-08-01,29,False
2021-08-08,33,False
2021-08-15,33,False
2021-08-22,34,False
2021-08-29,36,False
2021-09-05,38,False
2021-09-12,37,False
2021-09-19,38,False
2021-09-26,32,False
2021-10-03,36,False
2021-10-10,37,False
2021-10-17,44,False
2021-10-24,47,False
2021-10-31,49,False
2021-11-07,53,False
2021-11-14,51,False
2021-11-21,46,False
2021-11-28,47,False
2021-12-05,45,False
2021-12-12,44,False
2021-12-19,42,False
2021-12-26,43,False
2022-01-02,58,False
2022-01-09,55,False
2022-01-16,55,False
2022-01-23,58,False
2022-01-30,55,False
2022-02-06,56,False
2022-02-13,55,False
2022-02-20,51,False
2022-02-27,47,False
2022-03-06,49,False
2022-03-13,46,False
2022-03-20,50,False
2022-03-27,49,False
2022-04-03,52,False
2022-04-10,45,False
2022-04-17,47,False
2022-04-24,48,False
2022-05-01,43,False
2022-05-08,48,False
2022-05-15,44,False
2022-05-22,43,False
2022-05-29,42,False
2022-06-05,38,False
2022-06-12,39,False
2022-06-19,37,False
2022-06-26,36,False
2022-07-03,37,False
2022-07-10,38,False
2022-07-17,36,False
2022-07-24,31,False
2022-07-31,33,False
2022-08-07,31,False
2022-08-14,36,False
2022-08-21,37,False
2022-08-28,33,False
2022-09-04,31,False
2022-09-11,35,False
2022-09-18,35,False
2022-09-25,34,False
2022-10-02,32,False
2022-10-09,34,False
2022-10-16,36,False
2022-10-23,33,False
2022-10-30,37,False
2022-11-06,36,False
2022-11-13,38,False
2022-11-20,32,False
2022-11-27,31,False
2022-12-04,32,False
2022-12-11,32,False
2022-12-18,26,False
2022-12-25,24,False
2023-01-01,21,True
